,Variable,index_20,index_21,index_22
313,h070189e,313.0,,
314,h070289,314.0,,
315,h070290,315.0,,
316,h070291,316.0,,
317,h070192e,317.0,,
318,h070292,318.0,,
319,h0703,319.0,109.0,
320,h070301a,320.0,,
321,h070301b,321.0,,
322,h070401,322.0,,
323,h070302a,323.0,,
324,h070302b,324.0,,
325,h070302c,325.0,,
326,h070302d,326.0,,
327,h070302e,327.0,,
328,h070302f,328.0,,
329,h070302g,329.0,,
330,h070302h,330.0,,
331,h070302i,331.0,,
332,h070302j,332.0,,
333,h070302k,333.0,,
334,h070302l,334.0,,
335,h070402,335.0,,
336,h070403,336.0,,
337,h070404,337.0,,
338,h070405,338.0,,
339,h070406,339.0,,
340,h070407,340.0,,
341,h070408,341.0,,
342,h070409,342.0,,
343,h070410,343.0,,
344,h070411,344.0,,
345,h070312e,345.0,,
346,h070412,346.0,,
347,h070313a,347.0,,
348,h070313b,348.0,,
349,h070313c,349.0,,
350,h070313d,350.0,,
351,h070413,351.0,,
352,h070414,352.0,,
353,h070315e,353.0,,
354,h070415,354.0,,
355,h070316,355.0,,
356,h070316a,356.0,,
357,h070316b,357.0,,
358,h070316c,358.0,,
359,h070316d,359.0,,
360,h070316e,360.0,,
361,h070316f,361.0,,
362,h070316g,362.0,,
363,h070316h,363.0,,
364,h070316i,364.0,,
365,h070316j,365.0,,
366,h070416,366.0,,
367,h070417,367.0,,
368,h070418,368.0,,
369,h070419,369.0,,
370,h070420,370.0,,
371,h070421,371.0,,
372,h070422,372.0,,
373,h070423,373.0,,
374,h070324e,374.0,,
375,h070424,375.0,,
376,h0705,376.0,111.0,
377,h070501a,377.0,,
378,h070501b,378.0,,
379,h070501c,379.0,,
380,h070501d,380.0,,
381,h070501e,381.0,,
382,h070501f,382.0,,
383,h070601,383.0,,
384,h070602,384.0,,
385,h070603,385.0,,
386,h070604,386.0,,
387,h070605,387.0,,
388,h0705emb,388.0,,
389,h070506a,389.0,,
390,h070506b,390.0,,
391,h070506c,391.0,,
392,h070506d,392.0,,
393,h070506e,393.0,,
394,h070506f,394.0,,
395,h070506g,395.0,,
396,h070606,396.0,,
397,h070607,397.0,,
398,h070608,398.0,,
399,h070609,399.0,,
400,h070610,400.0,,
401,h070511e,401.0,,
402,h070611,402.0,,
403,h070512a,403.0,,
404,h070512b,404.0,,
405,h070512c,405.0,,
406,h070512d,406.0,,
407,h070512e,407.0,,
408,h070512f,408.0,,
409,h070512g,409.0,,
410,h070512h,410.0,,
411,h070512i,411.0,,
412,h070512j,412.0,,
413,h070512k,413.0,,
414,h070512l,414.0,,
415,h070512m,415.0,,
416,h070512n,416.0,,
417,h070512o,417.0,,
418,h070512p,418.0,,
419,h070512q,419.0,,
420,h070612,420.0,,
421,h070613,421.0,,
422,h070614,422.0,,
423,h070615,423.0,,
424,h070616,424.0,,
425,h070617,425.0,,
426,h070618,426.0,,
427,h070619,427.0,,
428,h070620,428.0,,
429,h070621,429.0,,
430,h070622,430.0,,
431,h070623,431.0,,
432,h070624,432.0,,
433,h070625,433.0,,
434,h070626,434.0,,
435,h070527e,435.0,,
436,h070627,436.0,,
437,h070528a,437.0,,
438,h070528b,438.0,,
439,h070528c,439.0,,
