,0,1
entidad_x_Frequency_26,43,9
entidad_x_Frequency_27,65,35
entidad_x_Frequency_28,40,10
entidad_x_Frequency_29,52,18
entidad_x_Frequency_30,49,17
entidad_x_Frequency_31,46,3
entidad_x_Frequency_32,51,15
estrato_x_Frequency_1,524,230
estrato_x_Frequency_2,623,168
estrato_x_Frequency_3,854,269
resultado_3_Frequency_0,1987,657
resultado_3_Frequency_1,10,7
resultado_3_Frequency_2,2,0
resultado_3_Frequency_3,0,0
resultado_3_Frequency_4,0,0
resultado_3_Frequency_5,2,3
resultado_4_Frequency_0,1997,664
resultado_4_Frequency_1,4,3
sexo_Frequency_1,807,249
sexo_Frequency_2,1194,418
entidad1_Frequency_1,58,10
entidad1_Frequency_2,36,13
entidad1_Frequency_3,39,8
entidad1_Frequency_4,54,17
entidad1_Frequency_5,40,16
entidad1_Frequency_6,47,12
entidad1_Frequency_7,61,41
entidad1_Frequency_8,48,23
entidad1_Frequency_9,153,55
entidad1_Frequency_10,59,18
entidad1_Frequency_11,196,74
entidad1_Frequency_12,63,20
entidad1_Frequency_13,62,24
entidad1_Frequency_14,43,3
entidad1_Frequency_15,151,46
entidad1_Frequency_16,44,19
entidad1_Frequency_17,49,18
entidad1_Frequency_18,44,7
entidad1_Frequency_19,115,34
entidad1_Frequency_20,56,31
entidad1_Frequency_21,40,15
entidad1_Frequency_22,58,19
entidad1_Frequency_23,42,8
entidad1_Frequency_24,57,17
entidad1_Frequency_25,40,12
entidad1_Frequency_26,43,9
entidad1_Frequency_27,65,35
entidad1_Frequency_28,40,10
entidad1_Frequency_29,52,18
entidad1_Frequency_30,49,17
entidad1_Frequency_31,46,3
entidad1_Frequency_32,51,15
desc_ent1_Frequency_01 AGUASCALIENTES,58,10
desc_ent1_Frequency_02 BAJA CALIFORNIA,36,13
desc_ent1_Frequency_03 BAJA CALIFORNIA SUR,39,8
desc_ent1_Frequency_04 CAMPECHE,54,17
desc_ent1_Frequency_05 COAHUILA DE ZARAGOZA,40,16
desc_ent1_Frequency_06 COLIMA,47,12
desc_ent1_Frequency_07 CHIAPAS,61,41
desc_ent1_Frequency_08 CHIHUAHUA,48,23
desc_ent1_Frequency_09 CIUDAD DE MÉXICO,153,55
