,0,1
entidad_x_Frequency_22,2349,19
entidad_x_Frequency_23,1786,8
entidad_x_Frequency_24,2628,17
entidad_x_Frequency_25,2269,12
entidad_x_Frequency_26,1873,9
entidad_x_Frequency_27,2556,35
entidad_x_Frequency_28,2014,10
entidad_x_Frequency_29,2223,18
entidad_x_Frequency_30,2325,17
entidad_x_Frequency_31,2096,3
entidad_x_Frequency_32,2760,15
estrato_x_Frequency_1,23049,230
estrato_x_Frequency_2,27971,168
estrato_x_Frequency_3,40876,269
resultado_3_Frequency_0,90904,657
resultado_3_Frequency_1,742,7
resultado_3_Frequency_2,93,0
resultado_3_Frequency_3,11,0
resultado_3_Frequency_4,13,0
resultado_3_Frequency_5,133,3
resultado_4_Frequency_0,91646,664
resultado_4_Frequency_1,250,3
sexo_Frequency_1,35193,249
sexo_Frequency_2,56703,418
entidad1_Frequency_1,2319,10
entidad1_Frequency_2,2006,13
entidad1_Frequency_3,2260,8
entidad1_Frequency_4,2510,17
entidad1_Frequency_5,2127,16
entidad1_Frequency_6,2241,12
entidad1_Frequency_7,3109,41
entidad1_Frequency_8,1861,23
entidad1_Frequency_9,7341,55
entidad1_Frequency_10,2478,18
entidad1_Frequency_11,8932,74
entidad1_Frequency_12,2593,20
entidad1_Frequency_13,2453,24
entidad1_Frequency_14,1684,3
entidad1_Frequency_15,7036,46
entidad1_Frequency_16,2289,19
entidad1_Frequency_17,2320,18
entidad1_Frequency_18,1761,7
entidad1_Frequency_19,4999,34
entidad1_Frequency_20,2514,31
entidad1_Frequency_21,2184,15
entidad1_Frequency_22,2349,19
entidad1_Frequency_23,1786,8
entidad1_Frequency_24,2628,17
entidad1_Frequency_25,2269,12
entidad1_Frequency_26,1873,9
entidad1_Frequency_27,2556,35
entidad1_Frequency_28,2014,10
entidad1_Frequency_29,2223,18
entidad1_Frequency_30,2325,17
entidad1_Frequency_31,2096,3
entidad1_Frequency_32,2760,15
desc_ent1_Frequency_01 AGUASCALIENTES,2319,10
desc_ent1_Frequency_02 BAJA CALIFORNIA,2006,13
desc_ent1_Frequency_03 BAJA CALIFORNIA SUR,2260,8
desc_ent1_Frequency_04 CAMPECHE,2510,17
desc_ent1_Frequency_05 COAHUILA DE ZARAGOZA,2127,16
desc_ent1_Frequency_06 COLIMA,2241,12
desc_ent1_Frequency_07 CHIAPAS,3109,41
desc_ent1_Frequency_08 CHIHUAHUA,1861,23
desc_ent1_Frequency_09 CIUDAD DE MÉXICO,7341,55
desc_ent1_Frequency_10 DURANGO,2478,18
desc_ent1_Frequency_11 GUANAJUATO,8932,74
desc_ent1_Frequency_12 GUERRERO,2593,20
desc_ent1_Frequency_13 HIDALGO,2453,24
desc_ent1_Frequency_14 JALISCO,1684,3
desc_ent1_Frequency_15 MÉXICO,7036,46
desc_ent1_Frequency_16 MICHOACÁN DE OCAMPO,2289,19
desc_ent1_Frequency_17 MORELOS,2320,18
desc_ent1_Frequency_18 NAYARIT,1761,7
desc_ent1_Frequency_19 NUEVO LEÓN,4999,34
desc_ent1_Frequency_20 OAXACA,2514,31
desc_ent1_Frequency_21 PUEBLA,2184,15
desc_ent1_Frequency_22 QUERÉTARO,2349,19
desc_ent1_Frequency_23 QUINTANA ROO,1786,8
